Артикул;Штрихкод;Наименование;ЕдиницаИзмерения;Остаток;Цена;Склад
COFFEE-500;8901234567890;Кофе зерновой Premium 500г;шт;150;12.99;ЦС-01
TEA-100;8901234567891;Чай зелёный органик 100г;шт;200;8.50;ЦС-01
CHOC-100;8901234567892;Шоколад тёмный 100г;шт;300;4.25;ЦС-01
MILK-1L;8901234567893;Молоко миндальное 1л;шт;120;3.75;ЦС-01
BREAD-WW;8901234567894;Хлеб цельнозерновой;шт;80;2.99;ЦС-01
YOGURT-500;8901234567895;Йогурт греческий 500г;шт;60;4.50;ЦС-01
HONEY-250;8901234567896;Мёд натуральный 250г;шт;45;6.99;ЦС-01
OIL-750;8901234567897;Масло оливковое 750мл;шт;30;11.50;ЦС-01
PASTA-500;8901234567898;Паста пшеничная 500г;шт;250;1.99;ЦС-01
SAUCE-400;8901234567899;Соус томатный 400г;шт;180;2.25;ЦС-01
